datetime,Barton_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER_F,T_AVER_C,T_MAX_C,T_MIN_C
3/1/78,1.160990727,,,0,50.5,10.27777778,12.8,7.8
3/2/78,1.160990727,,,0.254,61,16.11111111,22.2,10
3/3/78,1.13267388,,,0.508,40.5,4.722222222,10,-0.6
3/4/78,1.13267388,,,0,35.5,1.944444444,7.2,-3.3
3/5/78,1.13267388,,,0,45.5,7.5,17.2,-2.2
3/6/78,1.160990727,,,14.224,58,14.44444444,17.2,11.7
3/7/78,1.160990727,,,0,52.5,11.38888889,17.2,5.6
3/8/78,1.13267388,,,0,43,6.111111111,8.9,3.3
3/9/78,1.13267388,,,0,48.5,9.166666667,17.8,0.6
3/10/78,1.189307574,,,0,56.5,13.61111111,24.4,2.8
3/11/78,1.160990727,,,0,67,19.44444444,26.7,12.2
3/12/78,1.189307574,,,0,55,12.77777778,19.4,6.1
3/13/78,1.13267388,,,0,68,20,26.7,13.3
3/14/78,1.189307574,,,0,66,18.88888889,26.1,11.7
3/15/78,1.160990727,,,0,64.5,18.05555556,25.6,10.6
3/16/78,1.160990727,,,0,54,12.22222222,18.9,5.6
3/17/78,1.104357033,,,0,58.5,14.72222222,23.9,5.6
3/18/78,1.104357033,,,0,60.5,15.83333333,25.6,6.1
3/19/78,1.13267388,,,0,65.5,18.61111111,26.7,10.6
3/20/78,1.104357033,,,0,70.5,21.38888889,25.6,17.2
3/21/78,1.104357033,,,0,73,22.77777778,29.4,16.1
3/22/78,1.104357033,,,0,70.5,21.38888889,26.7,16.1
3/23/78,1.13267388,,,6.35,67,19.44444444,23.3,15.6
3/24/78,0.934455951,,,0,56.5,13.61111111,18.3,8.9
3/25/78,0.962772798,,,0,52.5,11.38888889,16.7,6.1
3/26/78,0.962772798,,,0,56,13.33333333,21.7,5
3/27/78,0.962772798,,,0,59.5,15.27777778,24.4,6.1
3/28/78,0.962772798,,,0,62.5,16.94444444,25.6,8.3
3/29/78,0.934455951,,,0,62.5,16.94444444,23.3,10.6
3/30/78,0.934455951,,,0,64,17.77777778,25.6,10
3/31/78,0.877822257,,,0,66.5,19.16666667,26.7,11.7
4/1/78,0.906139104,,,0,71.5,21.94444444,28.3,15.6
4/2/78,0.906139104,,,0,71.5,21.94444444,26.7,17.2
4/3/78,0.906139104,,,0,75.5,24.16666667,29.4,18.9
4/4/78,0.906139104,,,0,76.5,24.72222222,29.4,20
4/5/78,0.906139104,,,0,73,22.77777778,26.1,19.4
4/6/78,0.906139104,,,0,73.5,23.05555556,28.3,17.8
4/7/78,0.877822257,,,0,74,23.33333333,27.8,18.9
4/8/78,0.877822257,,,0,71.5,21.94444444,25,18.9
4/9/78,0.877822257,,,0,74,23.33333333,27.8,18.9
4/10/78,0.877822257,,,39.37,64.5,18.05555556,22.2,13.9
4/11/78,0.906139104,,,0.762,60,15.55555556,19.4,11.7
4/12/78,0.906139104,,,0,59.5,15.27777778,18.3,12.2
4/13/78,0.877822257,,,0,62,16.66666667,25,8.3
4/14/78,0.84950541,,,0,66.5,19.16666667,26.1,12.2
4/15/78,0.877822257,,,0,72,22.22222222,27.8,16.7
4/16/78,0.877822257,,,0,73.5,23.05555556,28.3,17.8
4/17/78,0.877822257,,,1.524,74.5,23.61111111,27.8,19.4
4/18/78,0.877822257,,,0,74,23.33333333,30,16.7
4/19/78,0.877822257,,,0,66,18.88888889,25,12.8
4/20/78,0.877822257,,,0,62.5,16.94444444,23.9,10
4/21/78,0.84950541,,,0,64.5,18.05555556,27.2,8.9
4/22/78,0.84950541,,,2.032,66.5,19.16666667,22.2,16.1
4/23/78,0.84950541,,,0,68,20,26.7,13.3
4/24/78,0.84950541,,,0,77,25,31.7,18.3
4/25/78,0.84950541,,,0,70,21.11111111,26.7,15.6
4/26/78,0.877822257,,,0,65.5,18.61111111,25,12.2
4/27/78,0.84950541,,,0,66.5,19.16666667,27.2,11.1
4/28/78,0.84950541,,,0,70,21.11111111,28.3,13.9
4/29/78,0.877822257,,,0,72.5,22.5,25.6,19.4
4/30/78,0.877822257,,,0,77,25,30,20
5/1/78,0.877822257,,,0,75,23.88888889,27.2,20.6
5/2/78,0.84950541,,,54.61,65.5,18.61111111,24.4,12.8
5/3/78,0.84950541,,,1.524,61,16.11111111,20.6,11.7
5/4/78,0.84950541,,,0,61.5,16.38888889,24.4,8.3
5/5/78,0.84950541,,,0,76,24.44444444,31.7,17.2
5/6/78,0.877822257,,,0.508,74.5,23.61111111,25.6,21.7
5/7/78,0.877822257,,,0,81,27.22222222,31.7,22.8
5/8/78,0.877822257,,,0,79.5,26.38888889,32.8,20
5/9/78,0.877822257,,,0,77,25,32.2,17.8
5/10/78,0.877822257,,,23.114,79,26.11111111,32.2,20
5/11/78,0.877822257,,,2.032,77.5,25.27777778,31.1,19.4
5/12/78,0.84950541,,,2.794,83.5,28.61111111,34.4,22.8
5/13/78,0.877822257,,,0,73.5,23.05555556,28.9,17.2
5/14/78,0.877822257,,,0,74,23.33333333,32.2,14.4
5/15/78,0.877822257,,,0,77,25,33.9,16.1
5/16/78,0.877822257,,,0,82.5,28.05555556,32.8,23.3
5/17/78,0.877822257,,,0,82.5,28.05555556,32.8,23.3
5/18/78,0.84950541,,,0,80,26.66666667,32.8,20.6
5/19/78,0.877822257,,,0,83,28.33333333,33.3,23.3
5/20/78,0.877822257,,,12.446,77,25,29.4,20.6
5/21/78,0.877822257,,,0.254,76,24.44444444,27.8,21.1
5/22/78,0.906139104,,,0,79,26.11111111,30,22.2
5/23/78,0.877822257,,,0,80.5,26.94444444,31.1,22.8
5/24/78,0.877822257,,,0,80.5,26.94444444,32.2,21.7
5/25/78,0.84950541,,,3.302,80.5,26.94444444,30.6,23.3
5/26/78,0.84950541,,,45.466,81,27.22222222,32.2,22.2
5/27/78,0.877822257,,,0.254,81.5,27.5,32.2,22.8
5/28/78,0.877822257,,,0,80,26.66666667,31.7,21.7
5/29/78,0.906139104,,,0.508,78.5,25.83333333,31.7,20
5/30/78,0.906139104,,,0,78,25.55555556,32.2,18.9
5/31/78,0.906139104,,,0,80.5,26.94444444,32.2,21.7
6/1/78,0.906139104,,,9.398,77.5,25.27777778,28.9,21.7
6/2/78,0.877822257,,,1.016,80.5,26.94444444,32.2,21.7
6/3/78,0.877822257,,,22.606,76.5,24.72222222,28.3,21.1
6/4/78,0.877822257,,,0,78.5,25.83333333,30.6,21.1
6/5/78,0.877822257,,,0,80,26.66666667,32.2,21.1
6/6/78,0.877822257,,,39.37,79.5,26.38888889,33.9,18.9
6/7/78,0.906139104,,,2.286,77,25,30.6,19.4
6/8/78,0.991089645,,,1.016,79.5,26.38888889,31.7,21.1
6/9/78,0.962772798,,,0,77.5,25.27777778,30,20.6
6/10/78,0.991089645,,,0,78,25.55555556,32.2,18.9
6/11/78,0.991089645,,,0,81.5,27.5,33.3,21.7
6/12/78,0.991089645,,,0,84,28.88888889,33.9,23.9
6/13/78,0.991089645,,,0,84.5,29.16666667,35,23.3
6/14/78,0.962772798,,,0,83,28.33333333,35,21.7
6/15/78,0.934455951,,,0,84,28.88888889,33.9,23.9
6/16/78,0.906139104,,,0,84.5,29.16666667,33.9,24.4
6/17/78,0.906139104,,,0,84,28.88888889,33.9,23.9
6/18/78,0.906139104,,,0,84.5,29.16666667,35,23.3
6/19/78,0.877822257,,,0,83,28.33333333,33.9,22.8
6/20/78,0.877822257,,,0,82.5,28.05555556,34.4,21.7
6/21/78,0.84950541,,,0,82,27.77777778,33.9,21.7
6/22/78,0.821188563,,,0,81.5,27.5,33.9,21.1
6/23/78,0.792871716,,,0,84,28.88888889,35.6,22.2
6/24/78,0.821188563,,,0,86.5,30.27777778,35.6,25
6/25/78,0.792871716,,,0,87.5,30.83333333,36.1,25.6
6/26/78,0.792871716,,,0,87,30.55555556,36.1,25
6/27/78,0.792871716,,,0,85.5,29.72222222,36.1,23.3
6/28/78,0.764554869,,,0,84.5,29.16666667,35.6,22.8
6/29/78,0.764554869,,,0,84.5,29.16666667,35.6,22.8
6/30/78,0.764554869,,,0,84,28.88888889,35.6,22.2
7/1/78,0.736238022,,,0,85,29.44444444,36.1,22.8
7/2/78,0.707921175,,,0,87,30.55555556,36.7,24.4
7/3/78,0.707921175,,,0,86.5,30.27777778,36.1,24.4
7/4/78,0.707921175,,,0,86,30,36.7,23.3
7/5/78,0.679604328,,,0,88,31.11111111,36.7,25.6
7/6/78,0.594653787,,,0,87,30.55555556,37.2,23.9
7/7/78,0.679604328,,,0,86.5,30.27777778,36.7,23.9
7/8/78,0.679604328,,,0,86.5,30.27777778,37.8,22.8
7/9/78,0.651287481,,,0,87,30.55555556,37.2,23.9
7/10/78,0.651287481,,,0,88,31.11111111,36.7,25.6
7/11/78,0.622970634,,,0,86.5,30.27777778,36.7,23.9
7/12/78,0.594653787,,,0,87.5,30.83333333,37.2,24.4
7/13/78,0.56633694,,,0,88,31.11111111,37.2,25
7/14/78,0.56633694,,,0,89,31.66666667,37.8,25.6
7/15/78,0.56633694,,,0,90.5,32.5,39.4,25.6
7/16/78,0.56633694,,,1.016,92.5,33.61111111,40.6,26.7
7/17/78,0.56633694,,,0,88,31.11111111,37.8,24.4
7/18/78,0.56633694,,,0,88.5,31.38888889,37.8,25
7/19/78,0.56633694,,,0,86,30,35,25
7/20/78,0.56633694,,,0,88,31.11111111,37.2,25
7/21/78,0.56633694,,,0,87.5,30.83333333,37.2,24.4
7/22/78,0.56633694,,,5.842,87,30.55555556,36.7,24.4
7/23/78,0.594653787,,,11.176,84.5,29.16666667,34.4,23.9
7/24/78,0.56633694,,,0,83,28.33333333,34.4,22.2
7/25/78,0.538020093,,,0,85.5,29.72222222,35.6,23.9
7/26/78,0.56633694,,,0,86.5,30.27777778,36.1,24.4
7/27/78,0.538020093,,,0,87,30.55555556,36.7,24.4
7/28/78,0.538020093,,,0,83,28.33333333,33.9,22.8
7/29/78,0.538020093,,,0,85,29.44444444,35,23.9
7/30/78,0.56633694,,,0,85,29.44444444,35.6,23.3
7/31/78,0.56633694,,,12.192,73,22.77777778,24.4,21.1
8/1/78,0.538020093,,,36.322,75.5,24.16666667,26.7,21.7
8/2/78,0.594653787,,,0.254,82.5,28.05555556,31.7,24.4
8/3/78,0.56633694,,,0,84,28.88888889,33.3,24.4
8/4/78,0.56633694,,,0,82,27.77777778,32.8,22.8
8/5/78,0.56633694,,,0,83.5,28.61111111,33.3,23.9
8/6/78,0.594653787,,,0,82,27.77777778,32.8,22.8
8/7/78,0.622970634,,,0,83.5,28.61111111,34.4,22.8
8/8/78,0.679604328,,,0,83,28.33333333,34.4,22.2
8/9/78,0.707921175,,,0.254,84.5,29.16666667,35,23.3
8/10/78,0.679604328,,,0,85,29.44444444,35,23.9
8/11/78,0.679604328,,,0,84.5,29.16666667,35,23.3
8/12/78,0.707921175,,,0,86.5,30.27777778,36.1,24.4
8/13/78,0.679604328,,,0,87,30.55555556,36.1,25
8/14/78,0.651287481,,,0,87.5,30.83333333,36.1,25.6
8/15/78,0.622970634,,,0,87.5,30.83333333,36.7,25
8/16/78,0.622970634,,,0,88,31.11111111,36.1,26.1
8/17/78,0.594653787,,,0,88,31.11111111,36.7,25.6
8/18/78,0.594653787,,,0,89,31.66666667,37.2,26.1
8/19/78,0.622970634,,,0,86.5,30.27777778,36.7,23.9
8/20/78,0.622970634,,,0,86.5,30.27777778,36.7,23.9
8/21/78,0.622970634,,,0,85.5,29.72222222,36.1,23.3
8/22/78,0.622970634,,,0,84,28.88888889,35.6,22.2
8/23/78,0.679604328,,,0,85,29.44444444,36.1,22.8
8/24/78,0.651287481,,,0,86,30,36.7,23.3
8/25/78,0.651287481,,,0,86.5,30.27777778,36.1,24.4
8/26/78,0.651287481,,,0,86.5,30.27777778,36.1,24.4
8/27/78,0.651287481,,,0,85.5,29.72222222,36.1,23.3
8/28/78,0.651287481,,,0,87,30.55555556,37.2,23.9
8/29/78,0.651287481,,,0,82.5,28.05555556,33.9,22.2
8/30/78,0.679604328,,,0.254,81.5,27.5,31.7,23.3
8/31/78,0.651287481,,,0.762,80.5,26.94444444,31.1,22.8
9/1/78,0.622970634,,,21.082,79.5,26.38888889,30,22.8
9/2/78,0.679604328,,,0,82,27.77777778,32.8,22.8
9/3/78,0.679604328,,,0,83,28.33333333,34.4,22.2
9/4/78,0.651287481,,,6.35,83.5,28.61111111,35,22.2
9/5/78,0.651287481,,,0,81.5,27.5,32.8,22.2
9/6/78,0.651287481,,,0,81,27.22222222,32.8,21.7
9/7/78,0.651287481,,,17.526,79,26.11111111,30,22.2
9/8/78,0.651287481,,,9.906,77,25,27.8,22.2
9/9/78,0.679604328,,,0,81,27.22222222,31.1,23.3
9/10/78,0.679604328,,,6.096,76.5,24.72222222,26.7,22.8
9/11/78,0.707921175,,,25.908,78,25.55555556,28.3,22.8
9/12/78,0.707921175,,,16.002,82.5,28.05555556,32.2,23.9
9/13/78,0.707921175,,,7.874,77,25,27.2,22.8
9/14/78,0.679604328,,,0,80.5,26.94444444,30,23.9
9/15/78,0.651287481,,,0,83,28.33333333,32.2,24.4
9/16/78,0.736238022,,,0,82.5,28.05555556,32.2,23.9
9/17/78,0.736238022,,,0,83.5,28.61111111,32.8,24.4
9/18/78,0.736238022,,,0,83,28.33333333,32.8,23.9
9/19/78,0.736238022,,,0,83.5,28.61111111,33.3,23.9
9/20/78,0.736238022,,,0,82,27.77777778,32.2,23.3
9/21/78,0.707921175,,,0.762,76,24.44444444,27.8,21.1
9/22/78,0.679604328,,,0,78.5,25.83333333,30.6,21.1
9/23/78,0.707921175,,,0,75,23.88888889,25.6,22.2
9/24/78,0.736238022,,,0,80,26.66666667,31.7,21.7
9/25/78,0.736238022,,,0,76,24.44444444,30.6,18.3
9/26/78,0.736238022,,,0,75.5,24.16666667,28.9,19.4
9/27/78,0.736238022,,,1.27,69,20.55555556,22.2,18.9
9/28/78,0.707921175,,,0,72,22.22222222,26.1,18.3
9/29/78,0.679604328,,,0,73.5,23.05555556,30,16.1
9/30/78,0.707921175,,,0,75.5,24.16666667,32.2,16.1
10/1/78,0.707921175,,,0,76.5,24.72222222,31.7,17.8
10/2/78,0.679604328,,,0,76,24.44444444,31.1,17.8
10/3/78,0.679604328,,,9.652,77.5,25.27777778,30.6,20
10/4/78,0.679604328,,,0,75,23.88888889,29.4,18.3
10/5/78,0.679604328,,,0,77,25,30.6,19.4
10/6/78,0.622970634,,,0,69.5,20.83333333,23.3,18.3
10/7/78,0.622970634,,,0,70,21.11111111,25.6,16.7
10/8/78,0.651287481,,,0,67,19.44444444,23.3,15.6
10/9/78,0.651287481,,,0,68,20,26.7,13.3
10/10/78,0.651287481,,,0,74.5,23.61111111,30,17.2
10/11/78,0.651287481,,,0,79,26.11111111,30.6,21.7
10/12/78,0.651287481,,,0,78.5,25.83333333,30.6,21.1
10/13/78,0.651287481,,,0,74.5,23.61111111,29.4,17.8
10/14/78,0.707921175,,,0,63,17.22222222,23.3,11.1
10/15/78,0.707921175,,,0,63,17.22222222,27.2,7.2
10/16/78,0.679604328,,,0,67,19.44444444,28.9,10
10/17/78,0.679604328,,,0,66.5,19.16666667,26.7,11.7
10/18/78,0.707921175,,,0,65,18.33333333,26.7,10
10/19/78,0.679604328,,,0,67.5,19.72222222,29.4,10
10/20/78,0.651287481,,,0,70.5,21.38888889,31.1,11.7
10/21/78,0.707921175,,,0,68,20,28.9,11.1
10/22/78,0.736238022,,,0,73.5,23.05555556,29.4,16.7
10/23/78,0.736238022,,,0,68.5,20.27777778,25,15.6
10/24/78,0.736238022,,,0,66,18.88888889,24.4,13.3
10/25/78,0.736238022,,,20.574,69,20.55555556,22.2,18.9
10/26/78,0.651287481,,,4.826,64.5,18.05555556,21.7,14.4
10/27/78,0.707921175,,,0,64,17.77777778,23.9,11.7
10/28/78,0.764554869,,,0,65.5,18.61111111,25.6,11.7
10/29/78,0.764554869,,,0,65,18.33333333,25.6,11.1
10/30/78,0.792871716,,,0,65.5,18.61111111,27.2,10
10/31/78,0.821188563,,,0,68.5,20.27777778,28.9,11.7
11/1/78,0.906139104,,,0,71.5,21.94444444,28.3,15.6
11/2/78,0.84950541,,,0,70,21.11111111,28.3,13.9
11/3/78,0.84950541,,,0,69.5,20.83333333,27.8,13.9
11/4/78,0.792871716,,,0,68.5,20.27777778,26.7,13.9
11/5/78,0.84950541,,,87.63,67.5,19.72222222,24.4,15
11/6/78,0.84950541,,,0,59,15,20,10
11/7/78,0.792871716,,,0,55,12.77777778,17.2,8.3
11/8/78,0.877822257,,,0,50.5,10.27777778,16.7,3.9
11/9/78,0.877822257,,,0,54.5,12.5,20.6,4.4
11/10/78,0.877822257,,,0,67,19.44444444,27.2,11.7
11/11/78,0.877822257,,,4.318,62.5,16.94444444,20,13.9
11/12/78,0.877822257,,,0,68.5,20.27777778,26.1,14.4
11/13/78,0.877822257,,,0.508,74,23.33333333,27.8,18.9
11/14/78,0.877822257,,,0,74,23.33333333,28.3,18.3
11/15/78,0.906139104,,,9.144,59,15,22.8,7.2
11/16/78,0.906139104,,,13.97,44.5,6.944444444,8.9,5
11/17/78,0.934455951,,,0,49,9.444444444,16.7,2.2
11/18/78,0.934455951,,,0,56.5,13.61111111,17.8,9.4
11/19/78,0.962772798,,,6.858,54,12.22222222,15,9.4
11/20/78,0.991089645,,,2.794,51,10.55555556,11.7,9.4
11/21/78,0.991089645,,,4.318,51,10.55555556,11.1,10
11/22/78,1.019406492,,,1.524,55,12.77777778,15,10.6
11/23/78,1.076040186,,,0,67.5,19.72222222,24.4,15
11/24/78,1.076040186,,,0.762,66.5,19.16666667,22.8,15.6
11/25/78,1.104357033,,,0.508,72,22.22222222,25,19.4
11/26/78,1.104357033,,,4.318,65,18.33333333,22.8,13.9
11/27/78,1.13267388,,,0.508,52,11.11111111,15.6,6.7
11/28/78,1.104357033,,,2.032,45.5,7.5,11.1,3.9
11/29/78,1.076040186,,,0,58,14.44444444,22.8,6.1
11/30/78,1.047723339,,,0,58.5,14.72222222,23.9,5.6
12/1/78,1.047723339,,,0,60,15.55555556,24.4,6.7
12/2/78,1.047723339,,,0,72,22.22222222,26.1,18.3
12/3/78,1.047723339,,,5.334,55.5,13.05555556,22.8,3.3
12/4/78,1.047723339,,,0,47,8.333333333,15,1.7
12/5/78,1.047723339,,,0,52.5,11.38888889,21.1,1.7
12/6/78,1.076040186,,,0,51,10.55555556,16.1,5
12/7/78,1.047723339,,,0,37,2.777777778,5,0.6
12/8/78,1.047723339,,,0,31.5,-0.277777778,1.1,-1.7
12/9/78,1.047723339,,,0,32.5,0.277777778,5,-4.4
12/10/78,1.047723339,,,0,32.5,0.277777778,7.8,-7.2
12/11/78,1.047723339,,,0,39.5,4.166666667,12.8,-4.4
12/12/78,1.047723339,,,0,44,6.666666667,15,-1.7
12/13/78,1.019406492,,,0,53,11.66666667,16.7,6.7
12/14/78,1.019406492,,,1.27,45.5,7.5,8.9,6.1
12/15/78,1.019406492,,,0,53.5,11.94444444,17.8,6.1
12/16/78,1.019406492,,,0,53.5,11.94444444,19.4,4.4
12/17/78,1.019406492,,,0,49,9.444444444,14.4,4.4
12/18/78,1.019406492,,,0,59.5,15.27777778,19.4,11.1
12/19/78,1.047723339,,,0,63,17.22222222,22.2,12.2
12/20/78,1.019406492,,,0,65,18.33333333,25,11.7
12/21/78,0.991089645,,,0,49,9.444444444,15,3.9
12/22/78,0.991089645,,,0,47.5,8.611111111,17.2,0
12/23/78,0.991089645,,,0,54,12.22222222,20,4.4
12/24/78,1.019406492,,,0,49,9.444444444,15,3.9
12/25/78,0.991089645,,,0,50.5,10.27777778,20,0.6
12/26/78,1.019406492,,,0,51,10.55555556,15,6.1
12/27/78,0.991089645,,,0,50,10,15,5
12/28/78,0.991089645,,,1.016,51,10.55555556,15,6.1
12/29/78,0.991089645,,,0.254,61.5,16.38888889,18.9,13.9
12/30/78,0.991089645,,,3.556,47,8.333333333,15.6,1.1
12/31/78,1.245941268,,,60.706,33,0.555555556,1.7,-0.6
1/1/79,1.41584235,,,2.032,25.5,-3.611111111,0.6,-7.8
1/2/79,1.444159197,,,0,22.5,-5.277777778,0,-10.6
1/3/79,1.472476044,,,0,30,-1.111111111,4.4,-6.7
1/4/79,1.472476044,,,6.35,42.5,5.833333333,10,1.7
1/5/79,1.472476044,,,2.032,40.5,4.722222222,9.4,0
1/6/79,1.529109738,,,5.588,31.5,-0.277777778,0.6,-1.1
1/7/79,1.557426585,,,0,31,-0.555555556,1.7,-2.8
1/8/79,1.557426585,,,0,28.5,-1.944444444,2.2,-6.1
1/9/79,1.500792891,,,0,29,-1.666666667,2.2,-5.6
1/10/79,1.557426585,,,22.86,37,2.777777778,3.9,1.7
1/11/79,1.812278208,,,0.508,40.5,4.722222222,7.8,1.7
1/12/79,2.038812984,,,0,44.5,6.944444444,15,-1.1
1/13/79,2.010496137,,,0,36.5,2.5,8.3,-3.3
1/14/79,1.98217929,,,0,28.5,-1.944444444,2.8,-6.7
1/15/79,1.925545596,,,0,34,1.111111111,7.2,-5
1/16/79,1.897228749,,,0,52,11.11111111,15.6,6.7
1/17/79,1.98217929,,,1.27,59.5,15.27777778,17.2,13.3
1/18/79,1.98217929,,,3.048,64.5,18.05555556,19.4,16.7
1/19/79,1.98217929,,,0.254,66.5,19.16666667,20.6,17.8
1/20/79,1.98217929,,,0.254,55,12.77777778,18.9,6.7
1/21/79,1.953862443,,,0,47.5,8.611111111,13.9,3.3
1/22/79,1.953862443,,,0,46.5,8.055555556,16.7,-0.6
1/23/79,1.953862443,,,0,42.5,5.833333333,12.2,-0.6
1/24/79,1.925545596,,,0,36,2.222222222,8.9,-4.4
1/25/79,1.98217929,,,5.842,44.5,6.944444444,10.6,3.3
1/26/79,1.98217929,,,0.254,47.5,8.611111111,11.1,6.1
1/27/79,1.953862443,,,0,43.5,6.388888889,10,2.8
1/28/79,1.953862443,,,0,33.5,0.833333333,4.4,-2.8
1/29/79,1.953862443,,,2.794,37.5,3.055555556,4.4,1.7
1/30/79,1.953862443,,,0.508,44,6.666666667,14.4,-1.1
1/31/79,1.953862443,,,0,29.5,-1.388888889,2.8,-5.6
2/1/79,1.953862443,,,0,35.5,1.944444444,6.1,-2.2
2/2/79,1.953862443,,,2.54,42,5.555555556,7.8,3.3
2/3/79,1.953862443,,,6.604,46,7.777777778,9.4,6.1
2/4/79,1.953862443,,,16.002,41.5,5.277777778,6.7,3.9
2/5/79,2.095446678,,,14.478,39.5,4.166666667,5.6,2.8
2/6/79,2.378615148,,,11.938,43.5,6.388888889,10.6,2.2
2/7/79,2.406931995,,,0,43.5,6.388888889,11.1,1.7
2/8/79,2.180397219,,,0,50.5,10.27777778,20.6,0
2/9/79,2.208714066,,,0,33,0.555555556,6.1,-5
2/10/79,2.208714066,,,0,44,6.666666667,16.1,-2.8
2/11/79,2.237030913,,,0,52.5,11.38888889,20,2.8
2/12/79,2.26534776,,,0,65,18.33333333,24.4,12.2
2/13/79,2.26534776,,,0,61.5,16.38888889,23.9,8.9
2/14/79,2.26534776,,,0,67.5,19.72222222,26.7,12.8
2/15/79,2.26534776,,,0,61,16.11111111,26.1,6.1
2/16/79,2.26534776,,,0,35.5,1.944444444,6.1,-2.2
2/17/79,2.26534776,,,0.508,28,-2.222222222,-1.1,-3.3
2/18/79,2.237030913,,,0,34,1.111111111,4.4,-2.2
2/19/79,2.237030913,,,0,34,1.111111111,4.4,-2.2
2/20/79,2.293664607,,,0.508,50.5,10.27777778,16.7,3.9
2/21/79,2.26534776,,,0,53.5,11.94444444,18.9,5
2/22/79,2.237030913,,,0.762,68.5,20.27777778,22.8,17.8
2/23/79,2.350298301,,,36.576,63,17.22222222,21.7,12.8
2/24/79,2.435248842,,,0,52.5,11.38888889,17.2,5.6
2/25/79,2.378615148,,,0,49.5,9.722222222,16.1,3.3
2/26/79,2.378615148,,,0,47.5,8.611111111,16.1,1.1
2/27/79,2.378615148,,,0,54.5,12.5,17.8,7.2
2/28/79,2.378615148,,,0,60.5,15.83333333,22.8,8.9
3/1/79,2.378615148,,,0,57.5,14.16666667,23.3,5
3/2/79,2.378615148,,,2.032,63,17.22222222,22.2,12.2
3/3/79,2.378615148,,,0,57,13.88888889,21.7,6.1
3/4/79,2.378615148,,,0,47.5,8.611111111,15,2.2
3/5/79,2.378615148,,,0,50,10,19.4,0.6
3/6/79,2.406931995,,,0,58.5,14.72222222,23.9,5.6
3/7/79,2.378615148,,,0,64,17.77777778,27.2,8.3
3/8/79,2.378615148,,,0,62.5,16.94444444,26.7,7.2
3/9/79,2.350298301,,,0,68.5,20.27777778,27.8,12.8
3/10/79,2.321981454,,,5.588,52,11.11111111,15,7.2
3/11/79,2.350298301,,,0,52.5,11.38888889,16.1,6.7
3/12/79,2.350298301,,,0,58.5,14.72222222,21.1,8.3
3/13/79,2.378615148,,,0,64,17.77777778,26.1,9.4
3/14/79,2.350298301,,,0,63,17.22222222,20.6,13.9
3/15/79,2.293664607,,,5.842,51.5,10.83333333,13.9,7.8
3/16/79,2.293664607,,,11.176,51,10.55555556,13.9,7.2
3/17/79,2.321981454,,,0,65,18.33333333,22.8,13.9
3/18/79,2.321981454,,,0.762,71,21.66666667,24.4,18.9
3/19/79,2.321981454,,,2.54,67.5,19.72222222,21.1,18.3
3/20/79,2.350298301,,,13.716,67,19.44444444,23.3,15.6
3/21/79,2.378615148,,,17.018,63.5,17.5,21.7,13.3
3/22/79,2.378615148,,,14.224,67.5,19.72222222,24.4,15
3/23/79,2.406931995,,,0,58,14.44444444,18.9,10
3/24/79,2.406931995,,,0,57.5,14.16666667,21.1,7.2
3/25/79,2.406931995,,,0,58,14.44444444,24.4,4.4
3/26/79,2.435248842,,,0,65,18.33333333,26.7,10
3/27/79,2.435248842,,,0,67.5,19.72222222,22.8,16.7
3/28/79,2.435248842,,,0,68.5,20.27777778,22.8,17.8
3/29/79,2.435248842,,,0,69,20.55555556,22.2,18.9
3/30/79,2.605149924,,,21.082,65,18.33333333,21.7,15
3/31/79,2.576833077,,,1.524,61.5,16.38888889,20,12.8
4/1/79,2.576833077,,,3.556,65,18.33333333,23.3,13.3
4/2/79,2.576833077,,,2.54,54,12.22222222,14.4,10
4/3/79,2.605149924,,,0,53.5,11.94444444,14.4,9.4
4/4/79,2.633466771,,,0,57,13.88888889,18.3,9.4
4/5/79,2.661783618,,,0,59.5,15.27777778,25.6,5
4/6/79,2.661783618,,,0,65.5,18.61111111,26.1,11.1
4/7/79,2.633466771,,,1.27,64.5,18.05555556,21.1,15
4/8/79,2.633466771,,,0,73.5,23.05555556,26.7,19.4
4/9/79,2.633466771,,,0,63,17.22222222,21.1,13.3
4/10/79,2.690100465,,,0,68.5,20.27777778,22.8,17.8
4/11/79,2.690100465,,,0,73,22.77777778,27.2,18.3
4/12/79,2.661783618,,,0,68,20,28.3,11.7
4/13/79,2.605149924,,,0,67,19.44444444,25,13.9
4/14/79,2.605149924,,,0,66.5,19.16666667,28.3,10
4/15/79,2.605149924,,,0,70,21.11111111,28.9,13.3
4/16/79,2.605149924,,,0.254,72,22.22222222,28.3,16.1
4/17/79,2.633466771,,,16.764,67.5,19.72222222,21.1,18.3
4/18/79,2.633466771,,,8.128,74,23.33333333,27.8,18.9
4/19/79,2.746734159,,,7.874,73,22.77777778,26.7,18.9
4/20/79,2.775051006,,,2.54,73,22.77777778,27.8,17.8
4/21/79,2.775051006,,,0.254,66,18.88888889,20.6,17.2
4/22/79,2.775051006,,,0,69,20.55555556,25,16.1
4/23/79,2.746734159,,,0,68.5,20.27777778,25.6,15
4/24/79,2.775051006,,,0,70,21.11111111,28.9,13.3
4/25/79,2.775051006,,,0,73.5,23.05555556,30,16.1
4/26/79,2.775051006,,,0,68,20,23.9,16.1
